Caption,Platform,Search Query,Date of Collection,Link,Keyword Density (%),Readability Score,Caption Length,Hashtag Count,Hashtag Type,Post Timing,Sentiment Score,Caption Format,CTA Presence,Emphasis Style (%),Search Rank,Search Visibility,Caption Score,Top 20 Probability %
"Street wear fashion during summer? Why not? Fashion is not seasonal, it's continuously evolving. Don't let the heat beat your burning fashion desire. We're here to help.  Follow us for more streetwear fashion guide. 
#madeinml #fashiontok #streetwearph #streetwearoutfit #outfits #colorcombination #outfitidea #menfashion #ootd",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1E9fZ3uLyk/,14.71,42.94,34,9,4,20,0.697,2,1,6.59%,6,1,-1.748017652,14.82974045
"Project PH is one of the shops in the Philippines focused on creating clothing from katsa or flour sacks in order to recycle and reduce waste. Started in 2020 by couple Cris Lyca Accad and Arvin Joseph Accad, the brand initially came about as a means of reworking tops from thrift clothing.",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1Bz5XcMxTR/,5.77,23.9,52,0,0,18.4833,0.649,1,0,4.60%,78,0,-1.389541946,19.94808926
"Street fashion to the next level, Arigato Japan! 
 GRAB YOURS NOW! 
Metro Manila and nearby locations can book on the same day delivery via Lalamove |  from 1PM to 10PM message us for more info.
Stocks Location: Manila City and Quezon City 
MOP: Gcash, Bank Transfer or COD 
MODEL size: Medium 
#getlowapparelph #getloweverywhere",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1HjAQECQpB/,8,22.42,50,2,2,11.6333,0,3,1,22.63%,8,1,-1.351606504,20.56078521
"""Slay the Streets Manila's Hottest Street Fashion Trends""
PRODUCT PAGE:
https://beacons.ai/streetwearmanila
https://beacons.ai/streetwearmanila
dont have an lazada app?  you can now order via message 
just hit the [Send message button] to connect with us !",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1FuiP5fc2A/,6.06,34.9,33,0,0,18.1,0,3,1,17.70%,9,1,-1.123256746,24.54076904
"Got a thing for the little things? HUMAN’s got you covered with plush keychains and bag charms that add the perfect pop of color, fun, and personality to your fit.Got a thing for the little things? HUMAN’s got you covered with plush keychains and bag charms that add the perfect pop of color, fun, and personality to your fit.Got a thing for the little things? HUMAN’s got you covered with plush keychains and bag charms that add the perfect pop of color, fun, and personality to your fit.Pick your favorite (or grab them all, we won’t judge 😉).Available in selected HUMAN stores. ✨Shop the latest HUMAN drops online or in-store:🛒 https://s.lazada.com.ph/l.0zGVhttps://s.lazada.com.ph/l.0zGVhttps://s.lazada.com.ph/l.0zGV🔍 https://human.phhttps://human.phhttps://human.ph#HUMANAccessories#HUMANAccessories#HUMANAccessories#HUMANAccessories#HUMANAccessories",Facebook,Online clothing stores PH,"June 16, 2025",https://www.facebook.com/share/p/1BzKsGmAMx/,1.79,-52.63,112,5,2,6,0.986,1,1,11.06%,49,0,-1.488108261,18.42058368
✨ Something adorable is coming your way! Get ready to dress your little ones in style with our upcoming collection of trendy kids’ clothes! 🧸👕 Launching Friday night—don’t miss it! Follow us now and be the first to snag these cuties! 💕👶 #KidsFashion#KidsFashion#KidsFashion #ComingSoon#ComingSoon#ComingSoon,Facebook,Where to buy trendy clothes PH,"June 16, 2025",https://www.facebook.com/share/p/1C1a5HQgqx/,10.26,45.77,39,6,2,16.8667,0.944,1,1,8.72%,27,0,-1.54086965,17.64088888
"Original LACOSTE Polo for Women!
Mall price P 5,000+
Our price P 1,000
Designed in France
Made in France
(Lacoste is usually made in Peru. Made in France is very rare)
Double buttoned
Fabric Type 94% Cotton 6% Elastene
Lacoste Brand original hard carboard piece tag
Measurements: all in inches.
Size 3 (M)
Shoulder to shoulder : 13.5
Arm opening : 5
Bottom width : 16
Top to bottom : 22
Size 4 (L)
Shoulder to shoulder : 14
Arm opening : 5.5
Bottom width : 17
Top to bottom : 23
Accepting ordera via
IG(fs_mnl), FB(Dashion Street Manila), SHOPEE(FS.MNL)
PM for more info!!",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1Hqj99fCCX/,2.08,-20.15,96,0,0,19.2167,0.622,3,1,23.01%,12,1,-1.055451122,25.81797103
"HERMES Polo Shirt for MEN
Mall price $375-$1,000+ (P18,500-P50,000)
Our on-sale price P5,070 (P8,450 retail)
One of the most luxurious brands in the world
Designed in France
Made in France
Original Hermes Tag
Recommend transaction of this item through meet-ups.
(Authenticity issues)
Measurements (in inches)
Size L
Shoulder to shoulder : 16
Arm opening : 6.5
Chest across : 19
Bottom width : 18.5
Top to bottom : 28
Size XL
Shoulder to shoulder : 17
Arm opening : 6.5
Chest across : 19.5
Bottom width : 19.5
Top to bottom : 28.5
These are NOT replica/imitation
We refuse to buy and provide our customers with imitation products as they do not last long since they do not use authentic fabric.
Please message us for authenticity clarifications.",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1GDA9hTbhH/,0,-44.24,117,0,0,11.1333,0.224,3,1,15.42%,13,1,-0.9963294508,26.96637069
"Built to last, made to move. Our everyday-strong neckline holds its shape wear after wear.
 #PremiumShirt #RibbedCollar #BasicTee 
SHOP ONLINE 
Lazada: https://www.lazada.com.ph/shop/genesis-clothing-co
Shopee: https://shopee.ph/genesisclothingph
TikTok: https://www.tiktok.com/@genesisclothingco",Facebook,Shop online clothing PH,"June 16, 2025",https://www.facebook.com/share/p/1C1WVHcmPk/,8.7,-26.17,23,3,2,0,0,3,0,18.18%,62,0,-1.619553394,16.52664718
🌐 Shop Online: shop.motoworld.com.ph/collections/brand-taichishop.motoworld.com.ph/collections/brand-taichishop.motoworld.com.ph/collections/brand-taichi,Facebook,Shop online clothing PH,"June 16, 2025",https://www.facebook.com/share/p/1C3SFLRZQo/,66.67,-726.81,3,0,0,10.05,0,1,1,8.67%,21,0,-1.04749363,25.97066831
"Off-White • Oat • Khaki
Unisex Soft Hybrid Cotton Tee (No. 5700)
✅Regular Fit; Unisex
✅18 colors
✅up to 3XL
DM NOW TO ORDER!🔥
or shop online  ➡️ https://shopgenesis.com.ph/.../5700B-Unisex-Soft-Hybrid...
We ship nationwide via J&T, LBC, AP Cargo, etc.",Facebook,Shop online clothing PH,"June 16, 2025",https://www.facebook.com/share/p/1C5Ld9XPLp/,5.71,11.78,35,0,0,0,0.42,3,1,31.36%,32,0,-1.11551609,24.68439496
"LF: xdeal photographer for clothing shoot (street fashion)
manila area",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/16L7P22Bee/,30,35.95,10,0,0,5.4333,-0.34,2,0,9.68%,17,1,-0.9793375632,27.30232454
"Manila's Street Fashion T-shirts for men 
STORE LINK :  https://invol.co/clkbemt 
STORE LINK :  https://invol.co/clkbemt",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/19HyDUJwHR/,16.67,39.56,12,0,0,12.5,0,2,0,34.29%,18,1,-1.257204337,22.14555255
"Happy Sunday Fashionaticz
 Everything looks good when you shop @ Fashion Street  
Choose and shop your best styles with your favorite garments on January 8, 2023, at our following store branches 
 N.domingo St., San Juan Manila
Jaro Tagbak, Iloilo City
GT Mall Molo, Iloilo City
#Happyshopping",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/19SRXpiyny/,6.82,25.66,44,1,2,19.7,0.93,3,1,12.77%,19,1,-1.414953152,19.54539896
"❤️𝑲𝒊𝒅𝒔 𝑻𝒓𝒆𝒏𝒅𝒚 𝑶𝑶𝑻𝑫 𝑪𝒍𝒐𝒕𝒉𝒆𝒔 new arrival Mar15,22❤️(free turban or banda untill supplies last)(free turban or banda untill supplies last)𝚏𝙾𝚁 1-9 𝚈𝚁𝚂 𝙾𝙻𝙳𝚏𝙾𝚁 1-9 𝚈𝚁𝚂 𝙾𝙻𝙳☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎꧁P͟R͟O͟M͟O͟꧂☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎꧁P͟R͟O͟M͟O͟꧂☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎꧁P͟R͟O͟M͟O͟꧂☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎𝐁𝐔𝐘 𝐀𝐍𝐘 6 𝐏𝐂𝐒. 𝐅𝐎𝐑""""₱999""""𝐏𝐄𝐒𝐎𝐒 𝐎𝐍𝐋𝐘any size/any print/any design and yes it can be assorted. any size/any print/any design and yes it can be assorted. ★★★ℝ𝔼𝕋𝔸𝕀𝕃★★★★★★ℝ𝔼𝕋𝔸𝕀𝕃★★★Small(1-2 yrs)- 170 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 eachSmall(1-2 yrs)- 170 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 eachmedium(3-5yrs) -190 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 eachmedium(3-5yrs) -190 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 eachLarge(7-9yrs)- 220 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 eachLarge(7-9yrs)- 220 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 each👉Para sa mga NEGOSHANTE👈𝐁𝐮𝐥𝐤 𝐨𝐫𝐝𝐞𝐫/𝐑𝐞𝐬𝐞𝐥𝐥𝐞𝐫𝐬/𝐰𝐡𝐨𝐥𝐞𝐬𝐚𝐥𝐞𝐁𝐮𝐥𝐤 𝐨𝐫𝐝𝐞𝐫/𝐑𝐞𝐬𝐞𝐥𝐥𝐞𝐫𝐬/𝐰𝐡𝐨𝐥𝐞𝐬𝐚𝐥𝐞𝑚𝑖𝑛𝑖𝑚𝑢𝑚 20𝑝𝑐𝑠 𝑡𝑜 𝑎𝑣𝑎𝑖𝑙𝑚𝑖𝑛𝑖𝑚𝑢𝑚 20𝑝𝑐𝑠 𝑡𝑜 𝑎𝑣𝑎𝑖𝑙small-₱125small-₱125medium-₱135medium-₱135large-₱150large-₱150Ⓣ︎Ⓡ︎Ⓔ︎Ⓝ︎Ⓓ︎Ⓨ︎Ⓣ︎Ⓡ︎Ⓔ︎Ⓝ︎Ⓓ︎Ⓨ︎🅢︎🅞︎🅕︎🅣︎ 🅒︎🅞︎🅣︎🅣︎🅞︎🅝︎🅢︎🅞︎🅕︎🅣︎ 🅒︎🅞︎🅣︎🅣︎🅞︎🅝︎Ⓖ︎Ⓐ︎Ⓡ︎Ⓣ︎Ⓔ︎Ⓡ︎Ⓘ︎Ⓩ︎Ⓔ︎Ⓓ︎Ⓖ︎Ⓐ︎Ⓡ︎Ⓣ︎Ⓔ︎Ⓡ︎Ⓘ︎Ⓩ︎Ⓔ︎Ⓓ︎🅢︎🅣︎🅔︎🅡︎🅣︎🅒︎🅗︎🅨︎🅢︎🅣︎🅔︎🅡︎🅣︎🅒︎🅗︎🅨︎Ⓒ︎Ⓞ︎Ⓜ︎Ⓜ︎Ⓕ︎Ⓨ︎Shopee check out👇👇👇👇👉SMALL👈https://shopee.ph/product/111905222/9128530122...https://shopee.ph/product/111905222/9128530122...https://shopee.ph/product/111905222/9128530122...https://shopee.ph/product/111905222/9128530122...👉Medium 👈https://shopee.ph/product/111905222/9233992960...https://shopee.ph/product/111905222/9233992960...https://shopee.ph/product/111905222/9233992960...https://shopee.ph/product/111905222/9233992960...👉Large👈https://shopee.ph/product/111905222/5577783845...https://shopee.ph/product/111905222/5577783845...https://shopee.ph/product/111905222/5577783845...https://shopee.ph/product/111905222/5577783845...WE DO SHIPPING NATIONWIDEWE DO SHIPPING NATIONWIDEDOOR TO DOOR/BRANCH PICK UPDOOR TO DOOR/BRANCH PICK UPCOD/COPCOD/COPPLEASE MESSAGE US FOR ORDERSPLEASE MESSAGE US FOR ORDERSℳ𝓎 ℒ𝒾ℒ 𝒥𝓊𝒶𝓃𝓈ℳ𝓎 ℒ𝒾ℒ 𝒥𝓊𝒶𝓃𝓈",Facebook,Where to buy trendy clothes PH,"June 16, 2025",https://www.facebook.com/share/p/1C6yWuqqtU/,1.71,-72.44,117,0,0,1.25,0.66,1,1,48.76%,44,0,-1.159862053,23.86923518
"🎀 FEEDBACK TIME!!!!Walang tapon talaga! Lahat pang benta 😍 uy ka-swerte naman talaga kapag ganyan bale ang maoopen mo! ❤️❤️‍🔥 GEELY ‘A17’ FASHION POLO BLOUSE A 🏷️ 3,500 ONLY 🔖 250 pcs. More or less#TipidClothingPHGEELYA17#TipidClothingPHGEELYA17#TipidClothingPHGEELYA17#TipidClothingPHGEELYA17#TipidClothingPHGEELYA17",Facebook,Fashion trends PH,"June 16, 2025",https://www.facebook.com/share/p/1C7a2DpM1D/,3.33,7.19,30,5,2,13.0167,0.904,1,0,38.65%,30,0,-1.911063365,12.88614358
"★Coordinate entire outfits for just 200 yen.
200 Japanese yen is 92 Philippine pesos!
The 200 Yen Corner is centered around women’s clothing, with items tailored for Japan’s seasonal weather. We’re now in the Spring and Summer season, so the selection focuses on short-sleeved t-shirts, sleeveless dresses, shorts, and cardigans. With a wide selection of clothing and a variety of easy-to-coordinate patterns, it’s a popular destination for Japanese shoppers too. Look hard and you might find some brand-names.
BOOK OFF’s used products are carefully screened for quality and peace of mind. There’s no need to wash the clothing after purchase. You can wear it right away. When traveling to Japan, we recommend coming to BOOK OFF’s 200 Yen Corner to coordinate outfits that you can wear while enjoying your trip.
Be sure to visit one of BOOK OFF’s nationwide locations when you’re in Japan. Nationwide BOOK OFF locations👉 http://www.bookoff.co.jp/inbound/
We will share BOOK OFF news on a regular basis through our Facebook page.Want to know more? Tap the Like button to follow!",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1C7vfjwi9j/,2.33,-101.53,172,0,0,16,0.951,3,1,10.00%,5,1,-0.8524213404,29.89251729
PHANTOM LONGSLEEVE RAGLAN CUT❗️Available at: 🪧 𝗣𝗮𝗿𝗮𝗸 𝗖𝗹𝗼𝘁𝗵𝗶𝗻𝗴 𝗕𝗿𝗮𝗻𝗰𝗵𝗲𝘀 🪧⏰10:00am-8:00pm🕹 ᴘᴀʀᴀᴋ ᴄʟᴏᴛʜɪɴɢ - ᴛᴏɴᴅᴏ ᴍᴀɪɴ ʙʀᴀɴᴄʜ🕹 ᴘᴀʀᴀᴋ ᴄʟᴏᴛʜɪɴɢ - ꜱᴛᴀ. ᴀɴᴀ ʙʀᴀɴᴄʜ⏰11:00am-8:00pm🕹 ᴘᴀʀᴀᴋ ᴄʟᴏᴛʜɪɴɢ - ᴄᴏᴍᴍᴏɴᴡᴇᴀʟᴛʜ ʙʀᴀɴᴄʜ⏰11:00am-9:00pm🕹 ᴘᴀʀᴀᴋ ᴄʟᴏᴛʜɪɴɢ - DASMA BRANCHVisit the nearest Parak Clothing store or shop online using these links.Visit the nearest Parak Clothing store or shop online using these links.𝗦𝗵𝗼𝗽𝗲𝗲:𝗦𝗵𝗼𝗽𝗲𝗲:https://shp.ee/9qmkrephttps://shp.ee/9qmkrephttps://shp.ee/9qmkrephttps://shp.ee/9qmkrep𝗟𝗮𝘇𝗮𝗱𝗮:𝗟𝗮𝘇𝗮𝗱𝗮:https://www.lazada.com.ph/shop/parak-clothing-racing-wearhttps://www.lazada.com.ph/shop/parak-clothing-racing-wearhttps://www.lazada.com.ph/shop/parak-clothing-racing-wearhttps://www.lazada.com.ph/shop/parak-clothing-racing-wear𝗙𝗕 𝗣𝗮𝗴𝗲:𝗙𝗕 𝗣𝗮𝗴𝗲:https://m.me/ParakClothingOfficialhttps://m.me/ParakClothingOfficialhttps://m.me/ParakClothingOfficialhttps://m.me/ParakClothingOfficial#ArawArawParak#ArawArawParak#ArawArawParak #CertifiedKaParak#CertifiedKaParak#CertifiedKaParak #TeamParakClothing#TeamParakClothing#TeamParakClothing #HilahanPataasParakClothingLangMalakas#HilahanPataasParakClothingLangMalakas#HilahanPataasParakClothingLangMalakas #PARAKCLOTHING#PARAKCLOTHING#PARAKCLOTHING,Facebook,Shop online clothing PH,"June 16, 2025",https://www.facebook.com/share/p/1CAc9FiUhV/,11.76,-62.24,51,15,2,17.4,-0.641,1,1,36.27%,18,1,-1.678822596,15.72514395
"AEROPOSTALE LLD Colorblocked Ankle Leggings
Mall price at $9.99
Our price
Wholesale P150
Retail P250
2 colors
Black
Dark Red
Sizes
XS - XL
Contrasting hue for sporty style!
Stretchy fabric, wide waistband
Upper Body: 88% Polyester, 12% Spandex
Lower Body: 90% Polyester, 10% Spandex
Accepting ordera via IG(fs_mnl), FB(Fashion Street Manila), and/or SHOPEE(FS.MNL)
PM us for more details!",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1RjCPLJQjp/,3.45,5.02,58,0,0,10.55,0,3,1,27.54%,24,0,-1.099452102,24.98425681
"ATHLETIC WORKS Sports Bra
Double Cross Back Style
Wholesale P140 (50pcs minimum)
Retail P240
Sizes: S - XL
6 colors
     Black
     Red
     Floral
     Space
     Lavender
     Charcoal
PM for more info (shipping, payment, etc)",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1Kgk5vmLjb/,0,36.88,32,0,0,17.2333,0,3,1,29.78%,25,0,-1.239829618,22.44656445
"𝐃𝐈𝐑𝐄𝐂𝐓 𝐒𝐔𝐏𝐏𝐋𝐈𝐄𝐑 ✅️𝐃𝐈𝐑𝐄𝐂𝐓 𝐒𝐔𝐏𝐏𝐋𝐈𝐄𝐑 ✅️Presyong bodega kaya bagsak presyo at legit since 2021! 🥳 Sa halagang 3,900 pwede kana magstart ng negosyo at maging distributor sa lugar niyo! 🤭Ang lulusog palagi ng bales, 𝑴𝒂-𝒅𝒓𝒆𝒔𝒔, 𝒕𝒓𝒆𝒏𝒅𝒚 𝒕𝒐𝒑𝒔, 𝒕𝒓𝒐𝒖𝒔𝒆𝒓𝒔, 𝒄𝒐𝒐𝒓𝒅𝒔, 𝒉𝒐𝒐𝒅𝒊𝒆, 𝒔𝒉𝒐𝒓𝒕, 𝒔𝒌𝒊𝒓𝒕, 𝒂𝒏𝒅 𝒆𝒕𝒄. 2x-3x palagi ang tubo ng mga reseller ko dito 😱💯 Available in Available in•200pcs, 100pcs, 50pcs, and 25pcs Bundle.•200pcs, 100pcs, 50pcs, and 25pcs Bundle.✅ Direct Supplier Since 2021✅Sold over thousands of bales nationwide✅With Pouches & Tags✅Hindi pinagpilian kaya babalik balikan✅Order now, pay now, deliver agad!",Facebook,Where to buy trendy clothes PH,"June 16, 2025",https://www.facebook.com/share/p/1CBZTQKnD9/,0,-10.82,85,0,0,13.4667,0.583,1,1,23.05%,29,0,-1.242368777,22.4023935
"A NEW DAY L744Y Pleated Maxi Skirt- Teal
P350
Color: Teal
Sizes: XS- XXL
Rayon , Polyester Fabric
**Fabric not stretch
**Pleated skirt ,lightweight fabric with lining offers comfortable wear
**Full elastic waist ensures to secure pull on fit
**Color in actual photo might  be different due to lighting
**All items are On hand & available unless marked as sold out
** We accept return & change  but buyer will shoulder the return shipping cost
Note: We carry overrun items.
Please expect minimal flaws such as small sewn up hole, stains, fabric runs. They are all wearable.
We will not entertain complaints for minimal flaws so please keep these in mind po 
Also, most of our items are American sizing (runs big), 
so please read the product description for actual measurements. 
(swimsuit size charts are ok to follow)
                           ***Actual Measurement in inches***
Size XS
Waist 25
Length 33
Size S
Waist 26
Length 33
Size M
Waist 29
Length 33
Size L
Waist 32
Length 34
Size XL
Waist 34
Length 34
Size XXL
Waist 36
Length 34",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1AfT5o8Lkr/,0,-91.81,174,0,0,9.0833,0.901,3,0,15.36%,27,0,-1.030450852,26.29967065
Kendra Kramer’s ootd looks are serving Pinterest vibes 😍The teen daughter of Chesca and Doug Kramer is such a fashionista. The teen daughter of Chesca and Doug Kramer is such a fashionista. The teen daughter of Chesca and Doug Kramer is such a fashionista. Photo by @kramer.kendra (Instagram)Photo by @kramer.kendra (Instagram)Photo by @kramer.kendra (Instagram),Facebook,Fashion trends PH,"June 16, 2025",https://www.facebook.com/share/p/1CEkVyknL5/,0,27.34,51,0,0,15.8333,0.459,1,0,10.07%,94,0,-1.480675247,18.53254489
"Digital Room LLC Contact Center Manila! Year End Party! 
Yes we did it! With the theme of ""High Street Fashion"" everyone wears their best outfit and shows their best smile the whole evening.
#DRCCHappyEmployee #yearend #DRCCMNL",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1Yqd5ouwQC/,9.09,52.85,33,3,4,4.5833,0.953,2,0,14.47%,29,0,-1.906476734,12.93771904
"BURBERRY LONDON Polo Shirt
On-sale price P3,300 (P5,500 retail)
13 colors:
Cream
Light Purple
Dark Teal
Green
Black
Beach
Pink
Sky
White
Gray
Lime
Brown
Navy
Size: M, L, 3XL
One of the most luxurious brands in the world
Designed in London
Made in Thailand
No logo stitching. All imprinted.
These come with original Burberry Tag
Measurements (in inches)
Size M
Shoulder to shoulder : 12
Arm opening : 5
Bottom width : 15 1/2
Top to bottom : 22
Size L
Shoulder to shoulder : 13 1/2
Arm opening : 5.5
Bottom width : 17
Top to bottom : 23
Size 3XL
Shoulder to shoulder : 15 1/2
Arm opening : 6
Bottom width : 20
Top to bottom : 26
These are NOT replica/imitation
We refuse to buy and provide our customers with imitation products as they do not last long since they do not use authentic fabric.
Please message us for authenticity clarifications.",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1Bcx4WbLyj/,0,-63.87,144,0,0,19.45,0.492,3,1,19.01%,30,0,-0.9613147189,27.66150435
"*Restock*AEROPOSTALE Colorblock Leggings
P300
1 color: Black
Sizes: XS - XL
Comfor, stylish, sleek, and stretchy!
2 toned pants for both activewear and daily outfit!
Stretch-knit fabric
Flat seams for more comfort
Slim fit
Wide, flat waistband
Size M inseam approximately 25 inches
88% Polyester, 12% Spandex
Accepting orders via
IG(fs_mnl), FB(Fashion Street Manila), SHOPEE(FS.MNL)
PM us for more info!!",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/share/p/1F5HMkvgbX/,3.39,7.86,59,0,0,14.45,0,3,1,23.33%,31,0,-1.101363907,24.94844265
"Don't forget to check us out In-store and online. Don't forget to check us out In-store and online. Don't forget to check us out In-store and online. Support your local brands available In-store: Support your local brands available In-store: Support your local brands available In-store: • Hayahay Outwear Co.Hayahay Outwear Co.Hayahay Outwear Co. https://www.facebook.com/hayahay.oc/https://www.facebook.com/hayahay.oc/https://www.facebook.com/hayahay.oc/ • UrbanGreen ClothingUrbanGreen ClothingUrbanGreen Clothing https://www.facebook.com/URBNGRN6100/https://www.facebook.com/URBNGRN6100/https://www.facebook.com/URBNGRN6100/ • Higher Being ApparelHigher Being ApparelHigher Being Apparel https://www.facebook.com/higherbeingapparel/https://www.facebook.com/higherbeingapparel/https://www.facebook.com/higherbeingapparel/ • Uprise ApparelUprise ApparelUprise Apparel https://www.facebook.com/upriseapparel034/https://www.facebook.com/upriseapparel034/https://www.facebook.com/upriseapparel034/ • NOMAD Outdoor GEARNOMAD Outdoor GEARNOMAD Outdoor GEAR https://www.facebook.com/nomadoutdoor.ph/https://www.facebook.com/nomadoutdoor.ph/https://www.facebook.com/nomadoutdoor.ph/https://www.facebook.com/nomadoutdoor.ph/• VERY BUDVERY BUDVERY BUD https://www.facebook.com/VERYBUD/https://www.facebook.com/VERYBUD/https://www.facebook.com/VERYBUD/ •Location:•Location:The Turf Headshop 3rd floor, Plazamart Bldg. Araneta st. Bacolod city, Neg. Occ. The Turf Headshop 3rd floor, Plazamart Bldg. Araneta st. Bacolod city, Neg. Occ. Store hours: Monday-Saturday 9am-6pmStore hours: Monday-Saturday 9am-6pminstagram.com/theturfphinstagram.com/theturfphinstagram.com/theturfph For shirt/merch consignment PM us for more details! For shirt/merch consignment PM us for more details! For shirt/merch consignment PM us for more details! NO FACE MASK AND FACE SHIELD NO ENTRY - Safety first ☝ Spread the word! 🌐",Facebook,PH clothing brands online,"June 16, 2025",https://www.facebook.com/share/p/1CHg5J5NBu/,4.55,-182.4,154,0,0,20.9667,0.837,1,1,19.63%,4,1,-1.122780809,24.54958365
‼️Disclaimer: Wearbees Online Shop is  not associated or affiliated with any of the brands featured. All copyrights & trademarks reserved to the original brand. NO COPYRIGHT OR TRADEMARK INFRINGEMENT INTENDED‼️,Facebook,PH clothing brands online,"June 16, 2025",https://www.facebook.com/share/p/1ChVRHTmZC/,6.9,11.12,29,0,0,20.9833,-0.767,1,0,29.44%,55,0,-1.463935019,18.7866212
"I WAS MADE READY — @astroboyI WAS MADE READY — @astroboyI WAS MADE READY — @astroboy""ASTROBOY BOOTLEG V1”""ASTROBOY BOOTLEG V1”""ASTROBOY BOOTLEG V1”🌐 SHOP ONLINE | https://shopee.ph/thewearhaushttps://shopee.ph/thewearhaushttps://shopee.ph/thewearhaus📍 CARTIMAR SHOPPING CENTER, PASAY CITY••••shot by @RClicksshot by @RClicksmodeled by @benedictocampomodeled by @benedictocampo",Facebook,Shop online clothing PH,"June 16, 2025",https://www.facebook.com/share/p/1CHXE42s3Z/,7.14,36.41,28,0,0,20.5833,0.866,1,0,62.86%,60,0,-1.5229668,17.90250584
"🩷 𝑷𝒍𝒆𝒂𝒔𝒆 𝒎𝒂𝒏𝒂𝒈𝒆 𝒚𝒐𝒖𝒓 𝒆𝒙𝒑𝒆𝒄𝒕𝒂𝒕𝒊𝒐𝒏𝒔 𝒃𝒆𝒄𝒂𝒖𝒔𝒆 𝒕𝒉𝒆𝒔𝒆 𝒂𝒓𝒆 𝒑𝒓𝒆𝒍𝒐𝒗𝒆𝒅 𝒄𝒍𝒐𝒕𝒉𝒆𝒔 𝒐𝒓 ""𝑼𝑲𝑨𝒀"".",Facebook,Where to buy trendy clothes PH,"June 16, 2025",https://www.facebook.com/share/p/1CPSL6tfCn/,0,111.07,11,0,0,19.1,0.318,1,1,98.53%,86,0,-1.484022474,18.4820617
"ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”",Facebook,Filipino fashion brands,"June 16, 2025",https://www.facebook.com/share/p/1CPtpCSPX3/,4.62,-81.3,130,0,0,11,0.919,1,0,10.37%,25,0,-1.235300015,22.52551456
"ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.ALIXIA MARIE PH, a young Filipino fashion brand, is supporting local artisans by using indigenous weaves from various regions in modern casual fashion.“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”“One of our taglines is ‘Carry your culture,’” company owner Alixia Mercado said. “We want to bring their weaves into the spotlight.”",Facebook,Filipino fashion brands,"June 16, 2025",https://www.facebook.com/share/p/1CPtpCSPX3/,4.62,-81.3,130,0,0,11,0.919,1,0,10.37%,26,0,-1.235300015,22.52551456
